Model,Detection Rate,Precision,F1 Score,FPR,FNR,AUROC,Training Time(sec)
DBSCAN,1.0,0.99375,0.9968652037617555,1.0,0.0,,0.09565401077270508
One-Class SVM,0.9761006289308176,0.995382247306311,0.9856471484821542,0.72,0.02389937106918239,0.9053283018867925,0.06089067459106445
Isolation Forest,0.9109433962264151,0.9991721854304636,0.9530201342281879,0.12,0.0890566037735849,0.9342389937106919,0.9922912120819092
Local Outlier Factor,0.9041509433962264,0.9983333333333333,0.9489108910891089,0.24,0.09584905660377359,0.8967245283018869,3.243952989578247
